cust_no	gen_cd	age	mclf_nm	sale_qty	t_5to8	t_8to11	t_11to14	t_14to17	t_17to20	t_20to22	t_22to5
1000000402952	M	30	음료	7.0	0.0	4.0	8.0	6.0	3.0	7.0	0.0
1000000402952	M	30	티 베리에이션	2.0	0.0	4.0	8.0	6.0	3.0	7.0	0.0
1000000513621	M	20	에스프레소 베리에이션	40.0	0.0	0.0	26.0	12.0	13.0	2.0	0.0
1000000513621	M	20	음료	7.0	0.0	0.0	26.0	12.0	13.0	2.0	0.0
1000000513621	M	20	티 베리에이션	6.0	0.0	0.0	26.0	12.0	13.0	2.0	0.0
1000000089173	F	40	에스프레소 베리에이션	392.0	17.0	353.0	52.0	36.0	62.0	21.0	4.0
1000000089173	F	40	음료	3.0	17.0	353.0	52.0	36.0	62.0	21.0	4.0
1000000089173	F	40	티 베리에이션	150.0	17.0	353.0	52.0	36.0	62.0	21.0	4.0
9990009165167	M	40	에스프레소 베리에이션	49.0	0.0	17.0	24.0	13.0	1.0	10.0	0.0
9990009165167	M	40	음료	13.0	0.0	17.0	24.0	13.0	1.0	10.0	0.0
9990009165167	M	40	티 베리에이션	3.0	0.0	17.0	24.0	13.0	1.0	10.0	0.0
9990000612408	F	30	에스프레소 베리에이션	31.0	0.0	2.0	5.0	9.0	8.0	15.0	0.0
9990000612408	F	30	음료	6.0	0.0	2.0	5.0	9.0	8.0	15.0	0.0
9990000612408	F	30	티 베리에이션	2.0	0.0	2.0	5.0	9.0	8.0	15.0	0.0
9990008214033	F	50	에스프레소 베리에이션	55.0	0.0	8.0	52.0	0.0	5.0	6.0	0.0
9990008214033	F	50	음료	11.0	0.0	8.0	52.0	0.0	5.0	6.0	0.0
9990008214033	F	50	티 베리에이션	5.0	0.0	8.0	52.0	0.0	5.0	6.0	0.0
9990007360247	F	40	에스프레소 베리에이션	42.0	0.0	12.0	19.0	16.0	3.0	1.0	0.0
9990007360247	F	40	음료	8.0	0.0	12.0	19.0	16.0	3.0	1.0	0.0
9990007360247	F	40	티 베리에이션	1.0	0.0	12.0	19.0	16.0	3.0	1.0	0.0
9990019671731	F	50	에스프레소 베리에이션	35.0	0.0	8.0	13.0	14.0	6.0	0.0	0.0
9990019671731	F	50	음료	4.0	0.0	8.0	13.0	14.0	6.0	0.0	0.0
9990019671731	F	50	티 베리에이션	2.0	0.0	8.0	13.0	14.0	6.0	0.0	0.0
1000001605641	M	40	에스프레소 베리에이션	6.0	0.0	4.0	7.0	3.0	1.0	0.0	0.0
1000001605641	M	40	음료	1.0	0.0	4.0	7.0	3.0	1.0	0.0	0.0
1000001605641	M	40	티 베리에이션	8.0	0.0	4.0	7.0	3.0	1.0	0.0	0.0
9990026183036	M	30	에스프레소 베리에이션	271.0	0.0	128.0	86.0	46.0	32.0	8.0	0.0
9990026183036	M	30	음료	10.0	0.0	128.0	86.0	46.0	32.0	8.0	0.0
9990026183036	M	30	티 베리에이션	19.0	0.0	128.0	86.0	46.0	32.0	8.0	0.0
1000000112302	F	40	에스프레소 베리에이션	92.0	13.0	118.0	13.0	0.0	0.0	0.0	0.0
1000000112302	F	40	음료	11.0	13.0	118.0	13.0	0.0	0.0	0.0	0.0
1000000112302	F	40	티 베리에이션	41.0	13.0	118.0	13.0	0.0	0.0	0.0	0.0
9990002360405	F	50	에스프레소 베리에이션	77.0	0.0	24.0	55.0	3.0	9.0	8.0	0.0
9990002360405	F	50	음료	9.0	0.0	24.0	55.0	3.0	9.0	8.0	0.0
9990002360405	F	50	티 베리에이션	13.0	0.0	24.0	55.0	3.0	9.0	8.0	0.0
1000000434075	F	10	에스프레소 베리에이션	4.0	0.0	5.0	4.0	5.0	26.0	4.0	0.0
1000000434075	F	10	음료	10.0	0.0	5.0	4.0	5.0	26.0	4.0	0.0
1000000434075	F	10	티 베리에이션	30.0	0.0	5.0	4.0	5.0	26.0	4.0	0.0
1000001192110	F	50	에스프레소 베리에이션	34.0	0.0	7.0	24.0	7.0	3.0	0.0	0.0
1000001192110	F	50	음료	7.0	0.0	7.0	24.0	7.0	3.0	0.0	0.0
9990011723816	F	30	에스프레소 베리에이션	17.0	0.0	0.0	0.0	21.0	0.0	14.0	1.0
9990011723816	F	30	음료	12.0	0.0	0.0	0.0	21.0	0.0	14.0	1.0
